n_workers,n_threads,load_time,rotation_time,mapping_time,compute_time,total_time
6,4,8.505330085754395,0.019849777221679688,0.0012497901916503906,4.7779200077056885,13.304980516433716
6,3,8.121634721755981,0.01969313621520996,0.001180410385131836,5.055548429489136,13.198454856872559
6,2,7.838380336761475,0.01951909065246582,0.0009095668792724609,4.890711307525635,12.750316381454468
6,1,8.52881383895874,0.019965410232543945,0.0008778572082519531,3.65527081489563,12.205293655395508
7,8,8.663940906524658,0.0202329158782959,0.0007674694061279297,5.268012285232544,13.953691959381104
7,7,8.07373309135437,0.020425796508789062,0.0009486675262451172,5.235259056091309,13.331200122833252
7,6,7.668073415756226,0.020369768142700195,0.0017669200897216797,5.459976434707642,13.150519609451294
7,5,8.573480129241943,0.022655487060546875,0.002050161361694336,5.382661581039429,13.98123550415039
7,4,8.190904378890991,0.020264625549316406,0.0009121894836425781,5.330447196960449,13.542867183685303
7,3,8.674084424972534,0.019846677780151367,0.0010695457458496094,5.310061693191528,14.006021976470947
7,2,8.4291410446167,0.019569873809814453,0.0007882118225097656,5.444111347198486,13.893925666809082
7,1,8.299213647842407,0.019984960556030273,0.0006933212280273438,4.146892070770264,12.467469692230225
8,8,7.983196496963501,0.02039504051208496,0.0009505748748779297,6.200155019760132,14.205000400543213
8,7,8.26834225654602,0.02111220359802246,0.0013475418090820312,6.099046945571899,14.390218734741211
8,6,7.986483335494995,0.02084970474243164,0.0012285709381103516,6.356597423553467,14.365550994873047
